GAME_ID,WINNER
20800898,HOME
20800901,AWAY
20800902,HOME
20800904,HOME
20800903,AWAY
20800900,AWAY
20800897,HOME
20800899,HOME
20800908,HOME
20800906,HOME
20800905,HOME
20800910,HOME
20800913,HOME
20800911,HOME
20800907,AWAY
20800912,HOME
20800909,HOME
20800914,AWAY
20800916,HOME
20800915,HOME
20800918,HOME
20800923,HOME
20800920,HOME
20800925,HOME
20800922,HOME
20800924,HOME
20800921,HOME
20800926,HOME
20800917,HOME
20800919,AWAY
20800928,HOME
20800927,HOME
20800929,AWAY
20800933,HOME
20800931,HOME
20800930,AWAY
20800935,AWAY
20800932,HOME
20800934,HOME
20800938,HOME
20800936,AWAY
20800940,HOME
20800941,HOME
20800937,AWAY
20800942,HOME
20800939,HOME
20800943,HOME
20800946,AWAY
20800945,HOME
20800947,AWAY
20800948,HOME
20800944,HOME
20800951,HOME
20800954,AWAY
20800952,AWAY
20800950,AWAY
20800953,AWAY
20800949,AWAY
20800957,HOME
20800962,AWAY
20800956,HOME
20800961,HOME
20800963,HOME
20800955,HOME
20800960,HOME
20800959,AWAY
20800964,AWAY
20800958,AWAY
20800965,HOME
20800966,AWAY
20800967,AWAY
20800969,HOME
20800974,AWAY
20800972,HOME
20800973,HOME
20800977,AWAY
20800971,AWAY
20800976,HOME
20800968,AWAY
20800978,HOME
20800970,AWAY
20800975,AWAY
20800979,HOME
20800982,AWAY
20800981,HOME
20800983,HOME
20800980,HOME
20800984,HOME
20800989,HOME
20800992,HOME
20800986,HOME
20800991,HOME
20800985,HOME
20800994,AWAY
20800987,AWAY
20800988,HOME
20800993,HOME
20800990,HOME
20800995,HOME
20801000,HOME
20800999,HOME
20800997,AWAY
20800996,HOME
20800998,AWAY
20801002,HOME
20801001,HOME
20801003,HOME
20801008,AWAY
20801005,HOME
20801004,HOME
20801007,HOME
20801006,HOME
20801009,HOME
20801012,AWAY
20801017,HOME
20801014,AWAY
20801019,HOME
20801011,AWAY
20801016,AWAY
20801013,AWAY
20801018,HOME
20801010,HOME
20801015,HOME
20801022,HOME
20801021,HOME
20801020,HOME
20801032,HOME
20801026,AWAY
20801031,AWAY
20801030,HOME
20801024,AWAY
20801029,AWAY
20801027,HOME
20801023,AWAY
20801028,HOME
20801033,HOME
20801025,HOME
20801034,HOME
20801036,HOME
20801038,AWAY
20801039,AWAY
20801037,AWAY
20801035,AWAY
20801040,HOME
20801042,AWAY
20801043,AWAY
20801044,HOME
20801047,AWAY
20801041,AWAY
20801046,HOME
20801045,AWAY
20801052,AWAY
20801051,HOME
20801048,HOME
20801050,HOME
20801049,AWAY
20801054,AWAY
20801053,HOME
20801057,HOME
20801055,HOME
20801056,AWAY
20801058,HOME
20801059,AWAY
20801062,HOME
20801067,HOME
20801060,HOME
20801065,AWAY
20801064,HOME
20801069,HOME
20801061,HOME
20801066,AWAY
20801063,HOME
20801068,HOME
20801071,HOME
20801072,HOME
20801070,AWAY
20801074,AWAY
20801079,HOME
20801077,HOME
20801076,AWAY
20801081,HOME
20801073,HOME
20801080,AWAY
20801082,AWAY
20801078,AWAY
20801075,HOME
20801087,HOME
20801086,HOME
20801083,HOME
20801088,HOME
20801084,HOME
20801089,HOME
20801085,AWAY
20801090,HOME
20801092,HOME
20801091,HOME
20801096,HOME
20801093,HOME
20801094,HOME
20801099,HOME
20801097,HOME
20801098,HOME
20801095,HOME
20801100,AWAY
20801102,HOME
20801101,AWAY
20801103,AWAY
20801109,AWAY
20801107,HOME
20801108,AWAY
20801105,HOME
20801110,HOME
20801104,HOME
20801112,AWAY
20801106,HOME
20801111,HOME
20801114,HOME
20801113,AWAY
20801119,HOME
20801117,AWAY
20801116,HOME
20801121,AWAY
20801118,HOME
20801115,HOME
20801120,HOME
20801124,HOME
20801122,HOME
20801123,HOME
20801134,HOME
20801127,HOME
20801130,HOME
20801129,AWAY
20801132,HOME
20801126,AWAY
20801131,AWAY
20801128,HOME
20801133,HOME
20801125,AWAY
20801137,HOME
20801136,HOME
20801141,HOME
20801138,AWAY
20801135,AWAY
20801139,AWAY
20801140,AWAY
20801142,HOME
20801147,AWAY
20801152,HOME
20801146,HOME
20801144,HOME
20801149,AWAY
20801151,AWAY
20801143,HOME
20801148,AWAY
20801145,AWAY
20801150,HOME
20801159,HOME
20801158,HOME
20801155,AWAY
20801160,AWAY
20801154,AWAY
20801157,AWAY
20801156,AWAY
20801153,HOME
20801161,AWAY
20801165,HOME
20801170,HOME
20801164,HOME
20801169,AWAY
20801162,HOME
20801166,AWAY
20801171,HOME
20801163,HOME
20801168,AWAY
20801167,AWAY
20801172,AWAY
20801175,HOME
20801173,HOME
20801174,AWAY
20801185,HOME
20801180,HOME
20801176,AWAY
20801188,HOME
20801178,HOME
20801183,AWAY
20801181,HOME
20801182,HOME
20801179,HOME
20801177,AWAY
20801184,HOME
20801187,AWAY
20801186,HOME
20801192,HOME
20801191,AWAY
20801190,HOME
20801195,AWAY
20801189,HOME
20801194,AWAY
20801193,HOME
20801198,HOME
20801197,HOME
20801201,HOME
20801200,AWAY
20801199,HOME
20801196,HOME
20801209,HOME
20801208,HOME
20801205,HOME
20801210,HOME
20801204,AWAY
20801203,AWAY
20801213,AWAY
20801202,AWAY
20801207,HOME
20801212,HOME
20801206,HOME
20801211,HOME
20801215,AWAY
20801214,HOME
20801216,HOME
20801220,HOME
20801225,HOME
20801219,AWAY
20801224,AWAY
20801218,AWAY
20801223,HOME
20801217,HOME
20801227,HOME
20801226,HOME
20801230,HOME
20801229,HOME
20801228,AWAY
20801222,HOME
20801221,HOME
